sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,r_charge_degree,vr_charge_degree,is_recid
1.0,63,0.0,0,0,0,10,906.0,1.0,1.0,8.0,1
1.0,33,0.0,0,0,0,2,1.0,0.0,2.0,8.0,0
1.0,27,0.0,1,1,2,15,1.0,0.0,1.0,8.0,1
1.0,38,1.0,0,0,0,4,1.0,1.0,1.0,8.0,1
1.0,46,1.0,3,1,0,9,1.0,0.0,2.0,8.0,0
1.0,22,0.0,0,0,1,1,1.0,0.0,1.0,8.0,1
0.0,34,1.0,0,0,0,0,0.0,1.0,2.0,8.0,0
1.0,22,0.0,0,1,2,2,114.0,0.0,1.0,8.0,1
1.0,29,0.0,0,0,0,4,1.0,0.0,0.0,8.0,1
1.0,27,0.0,0,1,0,6,0.0,0.0,0.0,8.0,1
0.0,56,0.0,0,0,0,0,1.0,1.0,2.0,8.0,0
0.0,31,1.0,0,0,0,2,1.0,0.0,2.0,8.0,0
1.0,34,0.0,0,0,0,0,0.0,0.0,2.0,8.0,0
1.0,39,0.0,0,0,0,1,1.0,1.0,2.0,8.0,0
1.0,24,0.0,0,1,0,4,1.0,1.0,2.0,8.0,0
1.0,29,0.0,0,0,0,5,0.0,0.0,1.0,8.0,1
1.0,27,1.0,0,0,1,1,1.0,0.0,0.0,8.0,1
1.0,41,0.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,40,0.0,0,0,0,2,15.0,0.0,2.0,8.0,0
1.0,51,0.0,0,0,0,1,78.0,0.0,2.0,8.0,0
1.0,22,0.0,0,0,0,1,1.0,1.0,1.0,8.0,1
1.0,22,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
0.0,26,0.0,0,0,0,1,1.0,0.0,1.0,2.0,1
1.0,27,1.0,0,0,0,1,44.0,0.0,1.0,5.0,1
0.0,59,0.0,0,0,0,2,67.0,0.0,2.0,8.0,0
1.0,32,1.0,0,0,0,3,711.0,1.0,2.0,8.0,0
1.0,32,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,41,0.0,0,0,0,1,5185.0,1.0,2.0,8.0,0
1.0,50,1.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,30,0.0,0,0,0,8,1.0,1.0,1.0,2.0,1
1.0,66,0.0,0,0,0,0,1372.0,1.0,2.0,8.0,0
1.0,52,0.0,0,0,0,3,1.0,0.0,2.0,8.0,0
1.0,36,0.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,22,1.0,0,0,0,3,7.0,0.0,2.0,8.0,0
1.0,25,0.0,1,6,1,14,1.0,0.0,1.0,5.0,1
0.0,44,1.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,22,0.0,1,0,0,2,0.0,0.0,1.0,8.0,1
1.0,23,0.0,0,0,1,2,192.0,1.0,1.0,8.0,1
1.0,54,0.0,0,0,0,6,864.0,0.0,2.0,8.0,0
1.0,40,1.0,0,0,0,4,1.0,0.0,2.0,8.0,0
1.0,25,0.0,0,0,0,10,138.0,0.0,2.0,8.0,0
0.0,35,0.0,0,0,0,1,1.0,1.0,2.0,8.0,0
1.0,36,0.0,0,0,0,9,1.0,0.0,1.0,8.0,1
1.0,26,1.0,0,0,0,7,1.0,0.0,1.0,8.0,1
0.0,28,0.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,30,1.0,0,0,1,6,1.0,0.0,2.0,8.0,0
1.0,25,1.0,0,0,0,9,1.0,0.0,1.0,5.0,1
1.0,71,0.0,0,0,0,12,804.0,1.0,2.0,8.0,0
1.0,34,0.0,0,0,0,3,21.0,1.0,2.0,8.0,0
0.0,20,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,39,1.0,0,0,0,2,3.0,0.0,0.0,8.0,1
1.0,66,1.0,0,0,0,3,64.0,0.0,2.0,8.0,0
0.0,54,1.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,28,0.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,19,0.0,0,0,0,1,10.0,1.0,1.0,2.0,1
1.0,24,0.0,0,0,0,1,137.0,0.0,2.0,8.0,0
1.0,30,0.0,0,0,0,1,1.0,0.0,2.0,8.0,0
0.0,39,1.0,0,0,0,0,1.0,0.0,1.0,5.0,1
0.0,32,0.0,0,0,0,8,1.0,1.0,2.0,8.0,0
1.0,24,1.0,0,1,2,8,0.0,0.0,0.0,8.0,1
1.0,30,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,31,1.0,0,0,0,0,1.0,1.0,2.0,8.0,0
0.0,39,1.0,0,0,0,1,1.0,0.0,2.0,8.0,0
1.0,59,0.0,0,0,0,14,265.0,0.0,0.0,2.0,1
1.0,35,1.0,0,0,0,7,0.0,0.0,2.0,8.0,0
1.0,43,1.0,0,0,0,1,30.0,0.0,2.0,8.0,0
1.0,21,0.0,1,0,1,2,1.0,0.0,2.0,8.0,0
0.0,21,0.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,21,0.0,0,0,0,3,1.0,0.0,1.0,8.0,1
1.0,27,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,20,0.0,0,0,0,0,0.0,0.0,2.0,8.0,0
1.0,38,1.0,0,0,0,5,1.0,1.0,0.0,8.0,1
1.0,27,0.0,0,0,0,3,2.0,0.0,2.0,8.0,0
1.0,34,1.0,0,0,0,0,0.0,0.0,2.0,8.0,0
1.0,30,0.0,0,0,0,3,0.0,0.0,2.0,8.0,0
1.0,33,0.0,0,0,0,5,1.0,0.0,1.0,8.0,1
1.0,37,0.0,0,0,0,3,0.0,0.0,2.0,8.0,0
1.0,42,1.0,0,0,0,1,1.0,0.0,0.0,8.0,1
1.0,41,0.0,0,1,0,10,0.0,0.0,1.0,8.0,1
1.0,22,0.0,0,0,0,0,1.0,0.0,0.0,8.0,1
1.0,33,0.0,0,12,2,28,1.0,0.0,1.0,8.0,1
1.0,44,1.0,0,0,0,0,3.0,1.0,2.0,8.0,0
1.0,31,0.0,0,0,0,1,1.0,1.0,2.0,8.0,0
1.0,26,0.0,0,0,0,9,0.0,0.0,2.0,8.0,0
1.0,31,1.0,0,0,0,13,0.0,0.0,0.0,5.0,1
1.0,27,0.0,0,0,0,3,1.0,0.0,0.0,8.0,1
0.0,31,1.0,0,0,0,1,1.0,0.0,2.0,8.0,0
1.0,56,0.0,0,0,0,8,79.0,0.0,2.0,8.0,0
1.0,52,1.0,0,0,0,3,2.0,1.0,2.0,8.0,0
1.0,33,0.0,0,0,0,19,1.0,0.0,1.0,8.0,1
1.0,61,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
0.0,64,1.0,0,0,0,2,48.0,1.0,2.0,8.0,0
1.0,22,1.0,0,0,0,4,36.0,0.0,1.0,8.0,1
1.0,42,1.0,0,0,0,6,5.0,0.0,2.0,8.0,0
0.0,25,1.0,0,0,0,2,1.0,0.0,2.0,8.0,0
1.0,27,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,30,1.0,0,0,0,1,20.0,1.0,2.0,8.0,0
1.0,23,0.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,28,1.0,0,0,0,2,161.0,0.0,2.0,8.0,0
1.0,21,1.0,0,0,0,1,1.0,0.0,2.0,8.0,0
1.0,28,1.0,0,0,0,0,1.0,1.0,1.0,8.0,1
0.0,24,0.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,37,0.0,0,0,0,13,5.0,0.0,2.0,8.0,0
1.0,22,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
0.0,29,1.0,0,1,0,10,1.0,0.0,0.0,8.0,1
0.0,25,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,44,1.0,0,0,0,2,1.0,1.0,1.0,8.0,1
1.0,32,0.0,0,0,0,3,1.0,0.0,0.0,8.0,1
1.0,31,1.0,0,0,0,2,16.0,1.0,1.0,8.0,1
1.0,27,0.0,0,0,0,5,78.0,0.0,2.0,8.0,0
1.0,31,0.0,0,0,0,1,1.0,1.0,1.0,8.0,1
1.0,59,1.0,0,0,0,1,1.0,0.0,1.0,8.0,1
1.0,28,0.0,0,0,0,15,1.0,0.0,2.0,8.0,0
0.0,45,1.0,0,0,0,4,375.0,0.0,2.0,8.0,0
1.0,23,1.0,0,0,0,0,1.0,1.0,2.0,8.0,0
0.0,20,0.0,1,0,0,1,0.0,0.0,2.0,8.0,0
1.0,42,0.0,0,0,0,2,41.0,0.0,2.0,8.0,0
0.0,43,1.0,0,0,0,0,0.0,1.0,2.0,8.0,0
1.0,38,0.0,1,1,0,9,1.0,0.0,1.0,8.0,1
1.0,32,0.0,0,0,0,11,2.0,0.0,0.0,0.0,1
1.0,33,0.0,0,0,0,8,1.0,1.0,1.0,5.0,1
1.0,55,0.0,0,0,0,4,1480.0,1.0,2.0,8.0,0
0.0,31,0.0,0,0,0,0,1.0,0.0,1.0,8.0,1
0.0,33,0.0,0,0,0,7,1.0,0.0,1.0,8.0,1
1.0,27,0.0,0,0,0,2,1.0,0.0,1.0,8.0,1
1.0,52,0.0,0,0,0,0,1.0,1.0,2.0,8.0,0
0.0,20,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
0.0,26,1.0,0,0,0,0,2.0,1.0,2.0,8.0,0
1.0,25,0.0,0,0,0,4,1.0,1.0,2.0,8.0,0
0.0,61,0.0,0,0,0,1,1.0,0.0,1.0,8.0,1
0.0,32,0.0,0,0,0,4,7.0,0.0,0.0,2.0,1
0.0,26,0.0,0,0,0,2,1.0,1.0,1.0,8.0,1
1.0,55,0.0,0,0,0,3,52.0,1.0,2.0,8.0,0
1.0,39,1.0,1,0,0,1,1672.0,2.0,2.0,8.0,0
0.0,30,1.0,0,0,0,3,1.0,0.0,0.0,8.0,1
1.0,30,0.0,0,0,0,1,1.0,0.0,2.0,8.0,0
1.0,48,1.0,0,0,0,2,1.0,1.0,2.0,8.0,0
1.0,33,1.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,22,0.0,0,0,0,1,1.0,0.0,2.0,8.0,0
1.0,46,1.0,0,0,0,6,31.0,0.0,1.0,8.0,1
1.0,41,1.0,0,0,0,5,1.0,0.0,2.0,8.0,0
0.0,49,1.0,0,0,0,6,56.0,0.0,2.0,8.0,0
1.0,31,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,31,0.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,25,0.0,0,0,0,1,1.0,1.0,1.0,8.0,1
1.0,31,0.0,0,0,0,3,19.0,0.0,2.0,8.0,0
0.0,21,0.0,0,0,0,0,4.0,1.0,2.0,8.0,0
0.0,32,0.0,0,0,0,5,1.0,0.0,2.0,8.0,0
1.0,62,0.0,0,0,0,8,1.0,0.0,2.0,8.0,0
1.0,30,0.0,0,0,0,2,1.0,1.0,2.0,8.0,0
0.0,37,1.0,0,0,0,6,111.0,0.0,2.0,8.0,0
1.0,55,1.0,0,0,0,1,45.0,0.0,2.0,8.0,0
1.0,28,0.0,0,0,0,6,1.0,1.0,1.0,1.0,1
1.0,78,1.0,0,0,0,1,1.0,1.0,0.0,8.0,1
1.0,56,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,38,0.0,2,2,1,22,35.0,0.0,1.0,8.0,1
1.0,39,0.0,0,0,0,3,1637.0,1.0,2.0,8.0,0
1.0,35,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,22,0.0,0,0,0,1,1.0,0.0,1.0,8.0,1
1.0,47,0.0,0,0,0,23,1.0,1.0,0.0,8.0,1
1.0,23,0.0,0,0,0,0,1.0,1.0,1.0,8.0,1
0.0,38,1.0,0,0,0,2,35.0,0.0,1.0,8.0,1
1.0,66,0.0,0,0,0,3,10.0,0.0,1.0,5.0,1
1.0,45,1.0,0,0,0,8,0.0,1.0,1.0,8.0,1
0.0,28,1.0,0,0,0,0,2.0,1.0,2.0,8.0,0
1.0,32,0.0,0,0,0,13,1.0,0.0,0.0,8.0,1
1.0,37,0.0,0,0,0,2,0.0,1.0,1.0,5.0,1
1.0,39,1.0,0,0,0,0,0.0,0.0,1.0,8.0,1
1.0,26,0.0,0,0,0,9,1.0,0.0,0.0,8.0,1
1.0,25,0.0,0,0,0,3,0.0,0.0,2.0,8.0,0
1.0,45,1.0,0,0,0,2,1.0,0.0,2.0,8.0,0
0.0,57,1.0,0,0,0,7,0.0,0.0,2.0,8.0,0
1.0,23,0.0,0,0,0,0,1.0,0.0,0.0,1.0,1
1.0,34,0.0,0,0,0,2,1.0,1.0,0.0,8.0,1
1.0,38,0.0,0,0,0,14,1.0,0.0,2.0,8.0,0
0.0,36,0.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
0.0,23,0.0,0,0,0,1,1.0,1.0,2.0,8.0,0
1.0,50,1.0,0,0,0,1,4.0,0.0,2.0,8.0,0
0.0,37,1.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,44,1.0,0,0,0,4,0.0,1.0,2.0,8.0,0
0.0,35,0.0,0,1,0,23,1.0,0.0,0.0,8.0,1
1.0,31,1.0,0,0,0,1,36.0,0.0,2.0,8.0,0
1.0,26,0.0,0,0,0,2,1.0,0.0,0.0,8.0,1
1.0,27,0.0,0,0,0,0,1.0,1.0,2.0,8.0,0
0.0,31,1.0,0,0,0,1,1.0,1.0,2.0,8.0,0
0.0,28,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,43,1.0,0,0,0,11,56.0,0.0,1.0,5.0,1
1.0,42,0.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
0.0,28,1.0,0,0,0,7,1.0,0.0,0.0,8.0,1
1.0,38,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,38,0.0,0,0,0,2,1.0,0.0,2.0,8.0,0
1.0,27,1.0,0,0,0,2,36.0,1.0,2.0,8.0,0
0.0,28,0.0,0,0,0,1,1.0,0.0,2.0,8.0,0
1.0,21,0.0,1,0,0,1,1.0,0.0,2.0,8.0,0
1.0,56,1.0,0,0,0,7,1.0,0.0,1.0,8.0,1
1.0,38,0.0,0,0,0,15,1.0,0.0,2.0,8.0,0
1.0,28,0.0,0,0,0,2,2147.0,1.0,2.0,8.0,0
1.0,45,0.0,0,0,0,3,23.0,0.0,2.0,8.0,0
1.0,61,1.0,0,0,0,1,34.0,0.0,2.0,8.0,0
0.0,51,1.0,0,0,0,0,1.0,1.0,1.0,5.0,1
1.0,51,1.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,20,1.0,0,0,1,0,1.0,0.0,2.0,8.0,0
1.0,48,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,37,1.0,0,0,0,4,0.0,0.0,1.0,8.0,1
0.0,30,0.0,0,0,0,2,1.0,0.0,2.0,8.0,0
0.0,41,0.0,0,0,0,5,1.0,1.0,2.0,8.0,0
1.0,27,0.0,0,0,0,11,1.0,0.0,0.0,8.0,1
1.0,37,0.0,0,0,0,0,1.0,1.0,1.0,5.0,1
1.0,54,0.0,0,0,0,11,1.0,0.0,2.0,8.0,0
1.0,23,0.0,0,0,0,2,1.0,0.0,2.0,8.0,0
1.0,22,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,68,1.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
0.0,26,0.0,0,0,0,2,227.0,0.0,1.0,8.0,1
0.0,23,0.0,0,2,0,3,1.0,0.0,2.0,8.0,0
0.0,32,0.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,41,0.0,0,0,0,0,0.0,1.0,2.0,8.0,0
1.0,52,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,23,0.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,43,1.0,0,0,0,13,1.0,0.0,0.0,8.0,1
1.0,52,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,28,1.0,0,0,0,1,3.0,0.0,2.0,8.0,0
1.0,30,0.0,0,0,2,11,1.0,1.0,1.0,0.0,1
1.0,28,1.0,0,0,0,1,0.0,0.0,2.0,8.0,0
1.0,47,1.0,0,0,0,1,38.0,0.0,2.0,8.0,0
0.0,34,0.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,22,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,30,0.0,0,0,0,4,0.0,0.0,2.0,8.0,0
1.0,31,1.0,0,0,0,0,1.0,0.0,0.0,8.0,1
1.0,37,1.0,0,0,0,0,1.0,0.0,1.0,8.0,1
1.0,32,0.0,0,1,0,14,1.0,0.0,2.0,8.0,0
1.0,26,0.0,0,1,0,4,1562.0,1.0,2.0,8.0,0
1.0,53,1.0,0,0,0,1,1.0,1.0,2.0,8.0,0
1.0,28,0.0,0,0,0,25,70.0,0.0,0.0,8.0,1
1.0,44,1.0,0,0,0,8,1.0,1.0,1.0,8.0,1
1.0,25,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,22,1.0,0,0,1,1,0.0,1.0,0.0,8.0,1
0.0,30,0.0,1,0,0,2,153.0,0.0,2.0,8.0,0
0.0,20,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
0.0,33,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
0.0,47,1.0,0,0,0,2,1.0,0.0,2.0,8.0,0
1.0,36,1.0,0,0,0,8,0.0,0.0,1.0,5.0,1
1.0,30,1.0,0,0,0,4,140.0,0.0,2.0,8.0,0
1.0,22,0.0,0,0,0,3,208.0,1.0,1.0,5.0,1
0.0,24,1.0,0,0,0,1,32.0,1.0,1.0,5.0,1
1.0,27,0.0,0,0,0,3,46.0,1.0,0.0,8.0,1
1.0,47,0.0,0,0,0,0,1.0,1.0,2.0,8.0,0
0.0,23,1.0,0,0,4,5,1.0,0.0,1.0,8.0,1
1.0,29,0.0,0,0,0,1,1.0,1.0,2.0,8.0,0
1.0,20,0.0,0,0,0,1,1.0,0.0,0.0,2.0,1
1.0,30,0.0,0,0,0,2,1.0,0.0,0.0,8.0,1
1.0,39,1.0,0,0,0,1,1.0,1.0,2.0,8.0,0
1.0,38,0.0,0,0,0,1,729.0,1.0,2.0,8.0,0
1.0,27,0.0,0,0,0,4,1.0,0.0,2.0,8.0,0
1.0,18,0.0,2,0,0,2,5.0,0.0,2.0,8.0,0
1.0,31,1.0,0,0,0,2,1016.0,1.0,0.0,8.0,1
0.0,37,0.0,0,0,0,2,0.0,0.0,2.0,8.0,0
1.0,31,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,27,0.0,0,0,0,2,1.0,0.0,2.0,8.0,0
1.0,20,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,46,0.0,1,0,0,5,1422.0,1.0,2.0,8.0,0
0.0,52,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
0.0,23,0.0,0,0,0,0,1.0,0.0,1.0,8.0,1
1.0,20,0.0,1,0,0,1,0.0,0.0,2.0,8.0,0
0.0,48,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,66,0.0,0,0,0,8,562.0,0.0,1.0,8.0,1
1.0,25,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,27,1.0,0,0,0,0,1.0,0.0,0.0,2.0,1
1.0,30,0.0,0,0,0,11,0.0,0.0,1.0,8.0,1
1.0,22,0.0,0,1,1,3,1.0,1.0,1.0,8.0,1
0.0,22,1.0,0,0,0,1,1.0,0.0,2.0,8.0,0
1.0,35,0.0,0,0,0,2,1.0,0.0,2.0,8.0,0
1.0,32,1.0,0,0,0,2,232.0,0.0,2.0,8.0,0
0.0,41,0.0,0,0,0,2,1.0,1.0,2.0,8.0,0
1.0,35,1.0,0,0,0,9,0.0,0.0,2.0,8.0,0
1.0,43,0.0,0,0,0,0,0.0,0.0,2.0,8.0,0
1.0,44,0.0,0,0,0,24,31.0,1.0,2.0,8.0,0
1.0,52,0.0,0,0,0,3,1.0,0.0,0.0,8.0,1
1.0,43,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,37,0.0,0,0,0,0,0.0,1.0,2.0,8.0,0
0.0,24,1.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
0.0,45,1.0,0,0,0,3,1.0,0.0,2.0,8.0,0
1.0,23,0.0,0,0,0,2,1.0,0.0,2.0,8.0,0
1.0,37,1.0,0,0,0,3,4.0,0.0,2.0,8.0,0
1.0,28,0.0,0,0,0,3,100.0,1.0,0.0,1.0,1
1.0,70,1.0,0,0,0,1,13.0,1.0,2.0,8.0,0
1.0,54,1.0,0,0,0,6,322.0,0.0,0.0,8.0,1
1.0,58,1.0,0,0,0,9,1.0,1.0,2.0,8.0,0
1.0,46,1.0,0,0,0,3,1.0,0.0,2.0,8.0,0
1.0,21,0.0,0,0,0,0,1.0,1.0,1.0,8.0,1
1.0,26,0.0,0,0,0,1,1.0,1.0,0.0,2.0,1
1.0,34,1.0,0,0,0,5,1.0,1.0,2.0,8.0,0
0.0,34,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,19,0.0,0,0,0,1,48.0,0.0,1.0,8.0,1
1.0,34,0.0,0,0,0,5,1.0,1.0,2.0,8.0,0
0.0,32,0.0,0,0,0,3,26.0,1.0,2.0,8.0,0
1.0,23,1.0,0,0,0,0,1.0,0.0,1.0,8.0,1
1.0,34,0.0,0,0,0,5,1.0,0.0,1.0,8.0,1
1.0,30,0.0,0,0,0,2,83.0,0.0,2.0,8.0,0
1.0,39,0.0,0,0,0,6,1.0,0.0,1.0,8.0,1
1.0,33,1.0,0,0,0,1,93.0,1.0,0.0,2.0,1
1.0,33,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,40,1.0,0,0,0,6,2417.0,1.0,2.0,8.0,0
1.0,58,1.0,0,0,0,2,1.0,0.0,2.0,8.0,0
0.0,21,0.0,0,0,0,0,0.0,1.0,2.0,8.0,0
1.0,56,0.0,0,0,0,13,1.0,0.0,2.0,8.0,0
1.0,27,1.0,0,0,0,1,0.0,0.0,2.0,8.0,0
1.0,21,0.0,0,0,0,1,36.0,0.0,0.0,8.0,1
1.0,23,0.0,0,0,1,4,11.0,1.0,1.0,8.0,1
1.0,62,1.0,0,0,0,0,0.0,0.0,2.0,8.0,0
1.0,62,1.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
